colour	x	y	group	showSelectedlegendcolourfill	clickSelects	PANEL
#00C094	6.928	1960	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.91	1961	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.893	1962	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.877	1963	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.861	1964	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.841	1965	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.816	1966	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.783	1967	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.738	1968	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.679	1969	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.605	1970	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.512	1971	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.402	1972	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.279	1973	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.146	1974	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	6.009	1975	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.873	1976	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.744	1977	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.624	1978	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.517	1979	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.423	1980	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.344	1981	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.274	1982	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.209	1983	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.141	1984	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	5.065	1985	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.973	1986	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.86	1987	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.724	1988	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.566	1989	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.388	1990	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	4.193	1991	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.989	1992	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.784	1993	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.584	1994	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.394	1995	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.217	1996	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	3.055	1997	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.906	1998	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.77	1999	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.645	2000	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.527	2001	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.413	2002	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.301	2003	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.191	2004	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	2.086	2005	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.989	2006	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.906	2007	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.839	2008	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.787	2009	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.749	2010	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#00C094	1.721	2011	191	Middle East & North Africa (all income levels)	United Arab Emirates	1
#A58AFF	7.7	1960	1	South Asia	Afghanistan	1
#A58AFF	7.7	1961	1	South Asia	Afghanistan	1
#A58AFF	7.7	1962	1	South Asia	Afghanistan	1
#A58AFF	7.7	1963	1	South Asia	Afghanistan	1
#A58AFF	7.7	1964	1	South Asia	Afghanistan	1
#A58AFF	7.7	1965	1	South Asia	Afghanistan	1
#A58AFF	7.7	1966	1	South Asia	Afghanistan	1
#A58AFF	7.7	1967	1	South Asia	Afghanistan	1
#A58AFF	7.7	1968	1	South Asia	Afghanistan	1
#A58AFF	7.7	1969	1	South Asia	Afghanistan	1
#A58AFF	7.7	1970	1	South Asia	Afghanistan	1
#A58AFF	7.699	1971	1	South Asia	Afghanistan	1
#A58AFF	7.697	1972	1	South Asia	Afghanistan	1
#A58AFF	7.695	1973	1	South Asia	Afghanistan	1
#A58AFF	7.693	1974	1	South Asia	Afghanistan	1
#A58AFF	7.692	1975	1	South Asia	Afghanistan	1
#A58AFF	7.695	1976	1	South Asia	Afghanistan	1
#A58AFF	7.701	1977	1	South Asia	Afghanistan	1
#A58AFF	7.711	1978	1	South Asia	Afghanistan	1
#A58AFF	7.725	1979	1	South Asia	Afghanistan	1
#A58AFF	7.742	1980	1	South Asia	Afghanistan	1
#A58AFF	7.763	1981	1	South Asia	Afghanistan	1
#A58AFF	7.785	1982	1	South Asia	Afghanistan	1
#A58AFF	7.807	1983	1	South Asia	Afghanistan	1
#A58AFF	7.829	1984	1	South Asia	Afghanistan	1
#A58AFF	7.85	1985	1	South Asia	Afghanistan	1
#A58AFF	7.871	1986	1	South Asia	Afghanistan	1
#A58AFF	7.893	1987	1	South Asia	Afghanistan	1
#A58AFF	7.915	1988	1	South Asia	Afghanistan	1
#A58AFF	7.937	1989	1	South Asia	Afghanistan	1
#A58AFF	7.96	1990	1	South Asia	Afghanistan	1
#A58AFF	7.984	1991	1	South Asia	Afghanistan	1
#A58AFF	8.01	1992	1	South Asia	Afghanistan	1
#A58AFF	8.034	1993	1	South Asia	Afghanistan	1
#A58AFF	8.052	1994	1	South Asia	Afghanistan	1
#A58AFF	8.058	1995	1	South Asia	Afghanistan	1
#A58AFF	8.043	1996	1	South Asia	Afghanistan	1
#A58AFF	8.004	1997	1	South Asia	Afghanistan	1
#A58AFF	7.939	1998	1	South Asia	Afghanistan	1
#A58AFF	7.847	1999	1	South Asia	Afghanistan	1
#A58AFF	7.73	2000	1	South Asia	Afghanistan	1
#A58AFF	7.595	2001	1	South Asia	Afghanistan	1
#A58AFF	7.447	2002	1	South Asia	Afghanistan	1
#A58AFF	7.294	2003	1	South Asia	Afghanistan	1
#A58AFF	7.14	2004	1	South Asia	Afghanistan	1
#A58AFF	6.989	2005	1	South Asia	Afghanistan	1
#A58AFF	6.843	2006	1	South Asia	Afghanistan	1
#A58AFF	6.7	2007	1	South Asia	Afghanistan	1
#A58AFF	6.559	2008	1	South Asia	Afghanistan	1
#A58AFF	6.422	2009	1	South Asia	Afghanistan	1
#A58AFF	6.288	2010	1	South Asia	Afghanistan	1
#A58AFF	6.158	2011	1	South Asia	Afghanistan	1
#53B400	2	1982	5	Latin America & Caribbean (all income levels)	Antigua and Barbuda	1
#53B400	1.9	1987	5	Latin America & Caribbean (all income levels)	Antigua and Barbuda	1
#53B400	1.7	1992	5	Latin America & Caribbean (all income levels)	Antigua and Barbuda	1
#53B400	1.7	1997	5	Latin America & Caribbean (all income levels)	Antigua and Barbuda	1
#53B400	1.7	2002	5	Latin America & Caribbean (all income levels)	Antigua and Barbuda	1
#C49A00	5.951	1960	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.891	1961	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.808	1962	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.704	1963	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.586	1964	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.458	1965	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.329	1966	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.202	1967	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	5.083	1968	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.972	1969	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.872	1970	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.778	1971	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.688	1972	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.598	1973	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.507	1974	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.417	1975	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.33	1976	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.247	1977	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.17	1978	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.099	1979	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	4.037	1980	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	3.985	1981	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	3.942	1982	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	3.904	1983	2	Europe & Central Asia (all income levels)	Albania	1
#C49A00	3.865	1984	2	Europe & Central Asia (all income levels)	Albania	1
